trade_date,cusip,ytm
12/14/21,90131HAY1,2.691
12/15/21,90131HAY1,2.708
12/16/21,90131HAY1,2.674
12/17/21,90131HAY1,2.657
12/20/21,90131HAY1,2.678
12/21/21,90131HAY1,2.717
12/22/21,90131HAY1,2.7099
12/23/21,90131HAY1,2.7463
12/24/21,90131HAY1,2.7427
12/27/21,90131HAY1,2.727
12/28/21,90131HAY1,2.734
12/29/21,90131HAY1,2.8096
12/30/21,90131HAY1,2.7593
12/31/21,90131HAY1,2.764
1/3/22,90131HAY1,2.887
1/4/22,90131HAY1,2.899
1/5/22,90131HAY1,2.95
1/6/22,90131HAY1,2.978
1/7/22,90131HAY1,3.016
1/10/22,90131HAY1,3.005
1/11/22,90131HAY1,2.996
1/12/22,90131HAY1,3.002
1/13/22,90131HAY1,2.951
1/14/22,90131HAY1,3.041
1/17/22,90131HAY1,3.0679
1/18/22,90131HAY1,3.125
1/19/22,90131HAY1,3.104
1/20/22,90131HAY1,3.061
1/21/22,90131HAY1,3.015
1/24/22,90131HAY1,3.026
1/25/22,90131HAY1,3.046
1/26/22,90131HAY1,2.959
1/27/22,90131HAY1,2.933
1/28/22,90131HAY1,2.891
1/31/22,90131HAY1,2.884
2/1/22,90131HAY1,2.894
2/2/22,90131HAY1,2.88
2/3/22,90131HAY1,2.944
2/4/22,90131HAY1,3.043
2/7/22,90131HAY1,3.04
2/8/22,90131HAY1,3.09
2/9/22,90131HAY1,3.09
2/10/22,90131HAY1,3.24
2/11/22,90131HAY1,3.1
2/14/22,90131HAY1,3.18
2/15/22,90131HAY1,3.21
2/16/22,90131HAY1,3.19
2/17/22,90131HAY1,3.12
2/18/22,90131HAY1,3.09
2/21/22,90131HAY1,3.07
2/22/22,90131HAY1,3.14
2/23/22,90131HAY1,3.18
2/24/22,90131HAY1,3.18
2/25/22,90131HAY1,3.19
2/28/22,90131HAY1,3.03
3/1/22,90131HAY1,2.89
3/2/22,90131HAY1,3.08
3/3/22,90131HAY1,3.05
3/4/22,90131HAY1,2.97
3/7/22,90131HAY1,3.02
3/8/22,90131HAY1,3.1
3/9/22,90131HAY1,3.2
3/10/22,90131HAY1,3.24
3/11/22,90131HAY1,3.27
3/14/22,90131HAY1,3.42
3/15/22,90131HAY1,3.43
3/16/22,90131HAY1,3.51
3/17/22,90131HAY1,3.46
3/18/22,90131HAY1,3.47
3/21/22,90131HAY1,3.64
3/22/22,90131HAY1,3.72
3/23/22,90131HAY1,3.63
3/24/22,90131HAY1,3.72
3/25/22,90131HAY1,3.88
3/28/22,90131HAY1,3.88
3/29/22,90131HAY1,3.82
3/30/22,90131HAY1,3.76
3/31/22,90131HAY1,3.79
4/1/22,90131HAY1,3.88
4/4/22,90131HAY1,3.87
4/5/22,90131HAY1,4.02
4/6/22,90131HAY1,4.01
4/7/22,90131HAY1,4.04
4/8/22,90131HAY1,4.08
4/11/22,90131HAY1,4.1
4/12/22,90131HAY1,4.02
4/13/22,90131HAY1,3.98
4/14/22,90131HAY1,4.07
4/15/22,90131HAY1,4.05
4/18/22,90131HAY1,4.08
4/19/22,90131HAY1,4.21
4/20/22,90131HAY1,4.15
4/21/22,90131HAY1,4.25
4/22/22,90131HAY1,4.23
4/25/22,90131HAY1,4.15
4/26/22,90131HAY1,4.03
4/27/22,90131HAY1,4.11
4/28/22,90131HAY1,4.14
4/29/22,90131HAY1,4.25
5/2/22,90131HAY1,4.29
5/3/22,90131HAY1,4.32
5/4/22,90131HAY1,4.22
5/5/22,90131HAY1,4.27
5/6/22,90131HAY1,4.34
5/9/22,90131HAY1,4.2
5/10/22,90131HAY1,4.17
5/11/22,90131HAY1,4.16
5/12/22,90131HAY1,4.2
5/13/22,90131HAY1,4.28
5/16/22,90131HAY1,4.24
5/17/22,90131HAY1,4.38
5/18/22,90131HAY1,4.33
5/19/22,90131HAY1,4.28
5/20/22,90131HAY1,4.25
5/23/22,90131HAY1,4.32
5/24/22,90131HAY1,4.2
